separation, propensity, length, PredSS_r1_-1, PredSS_r1, PredSS_r1_1, PredSS_r2_-1, PredSS_r2, PrSS_fq_cn_H, PrSS_fq_cn_E, PrSS_fq_cn_C, PrCN_fq_cn_0, PrRCH_fq_cn0, PrRCH_fq_cn1, PrSA_fq_cn_0, PrSA_fq_cn_4, PrRCH_r1_-1, PrRCH_r1, PrRCH_r1_1, PrRCH_r2_-1, PrRCH_r2, PrRCH_r2_1, PrCN_r1_-1, PrCN_r1, PrCN_r1_1, PrCN_r2, PrSA_r1, PrSA_r2_-1, PrSA_r2, PrSA_r2_1, PrRCH_fq_gl0, PrRCH_fq_gl4, AA_fq_cn_A, AA_fq_cn_D, AA_fq_cn_E, AA_fq_cn_I, AA_fq_cn_F, PrSS_fq_gl_H, PrCN_fq_gl_0, PrSA_fq_gl_0, PSSM_r1_-4_A, PSSM_r1_-4_N, PSSM_r1_0_D, PSSM_r1_1_W, PSSM_r2_0_A, PSSM_cn_-2_A, PSSM_cn_-2_T, PSSM_cn_0_H, PSSM_cn_2_D, PSSM_cn_2_V, class
42,1.11178457528051,283,E,E,C,C,E,0.0,0.512,0.488,0.195,0.415,0.195,0.171,0.22,?,1,0,0,3,3,3,1,1,2,3,4,3,3,0.251,0.0,0.024,0.049,0.098,0.024,0.049,0.0,0.102,0.194,-2,5,-1,-6,0,-2,0,-3,-8,-2,negative
163,0.734121565165707,241,E,E,E,C,E,0.284,0.167,0.549,0.13,0.259,0.13,0.259,0.148,4,4,4,0,3,3,4,4,4,3,0,3,1,1,0.245,0.137,0.117,0.068,0.068,0.056,0.012,0.32,?,0.266,-2,-2,-6,-7,0,-2,2,5,-5,3,negative
34,-0.168446050654973,296,C,C,E,C,C,0.121,0.242,0.636,0.121,0.212,0.091,0.273,0.333,3,0,3,4,4,3,3,3,3,3,3,0,3,0,0.243,0.203,0.152,0.061,0.03,0.061,0.091,0.068,0.149,0.223,0,0,0,4,-1,-1,6,0,1,-2,negative
32,-0.362964337188866,106,C,C,C,H,H,0.161,0.129,0.71,0.323,0.387,0.161,0.129,0.258,0,0,0,1,1,0,1,0,0,0,4,3,4,4,0.368,0.0,0.032,0.194,0.032,0.032,0.065,0.406,0.368,0.208,0,-3,1,-5,-2,-2,-1,-2,-3,4,negative
403,-0.291838779488172,1244,C,C,C,C,C,0.229,0.164,0.607,0.159,0.204,0.1,0.271,0.244,1,3,3,4,4,3,0,3,3,4,1,0,3,1,0.198,0.27,0.095,0.06,0.065,0.027,0.032,0.211,0.16,0.26,-3,-2,-5,-6,-4,4,0,-3,-2,-3,negative
58,-0.26793045567281,99,H,H,H,H,H,0.526,0.211,0.263,0.088,0.123,0.158,0.281,0.07,3,0,1,0,0,2,3,1,1,0,3,3,4,2,0.273,0.0,0.158,0.123,0.053,0.0,0.053,0.414,0.212,0.172,-3,-7,0,-6,0,3,0,3,1,0,negative
94,-0.256067555542816,245,C,C,C,H,H,0.559,0.0,0.441,0.376,0.323,0.237,0.065,0.333,3,0,3,1,0,3,3,1,4,0,3,3,4,3,0.355,0.029,0.097,0.075,0.054,0.032,0.043,0.592,0.347,0.135,-2,-3,0,-3,0,0,0,-1,-3,-5,negative
6,-0.417886444197309,217,E,E,E,E,E,0.0,0.6,0.4,0.0,0.6,0.2,0.0,0.2,1,3,0,1,1,3,2,3,1,2,1,3,3,0,0.226,0.18,0.0,0.0,0.0,0.0,0.0,0.244,0.115,0.258,-1,0,-7,3,-2,-2,-3,-6,-2,-5,positive
474,-0.770233121100733,739,C,C,C,H,H,0.347,0.137,0.516,0.175,0.23,0.114,0.268,0.233,0,2,0,3,0,3,0,3,0,0,4,3,4,3,0.233,0.135,0.106,0.08,0.049,0.063,0.023,0.411,0.18,0.271,-4,-4,-3,-3,-2,3,0,-2,2,-2,negative
52,0.5402079338809,174,H,H,H,H,H,0.922,0.0,0.078,0.431,0.333,0.176,0.216,0.392,0,3,0,3,3,1,0,3,0,3,0,3,0,4,0.397,0.006,0.157,0.02,0.039,0.0,0.02,0.828,0.437,0.195,-2,3,-4,-4,4,-2,1,-4,2,-3,positive
67,-0.637628516238633,71,C,H,H,H,C,0.47,0.0,0.53,0.212,0.348,0.197,0.167,0.273,0,3,1,0,1,0,1,3,1,1,1,4,3,4,0.366,0.0,0.197,0.045,0.106,0.091,0.0,0.451,0.211,0.155,0,0,-5,-6,-3,0,0,2,0,-1,negative
25,-1.88815652750283,209,C,C,C,H,H,0.792,0.0,0.208,0.208,0.375,0.125,0.25,0.208,3,0,0,3,3,3,3,1,0,0,3,2,3,3,0.316,0.024,0.125,0.125,0.0,0.042,0.042,0.703,0.282,0.211,-1,-3,2,-2,-1,-2,-2,3,1,-2,negative
484,-0.524799628760106,954,?,C,C,C,C,0.335,0.139,0.526,0.166,0.234,0.104,0.182,0.236,3,0,3,0,0,3,2,1,3,1,3,4,4,4,0.239,0.138,0.112,0.052,0.085,0.046,0.048,0.181,0.155,0.156,-2,-2,0,0,0,-1,0,2,-1,2,negative
41,-0.402408461248273,209,H,H,H,E,E,0.525,0.025,0.45,0.4,0.45,0.125,0.125,0.35,3,3,3,3,3,3,1,2,3,4,3,1,0,0,0.23,0.139,0.05,0.025,0.05,0.025,0.05,0.474,0.167,?,-5,-3,0,0,-2,-5,-4,-7,2,-1,negative
32,-0.143784113262591,102,E,E,E,E,E,0.0,0.613,0.387,0.129,0.355,0.129,0.226,0.258,3,1,3,1,3,1,3,2,3,3,3,3,0,3,0.382,0.0,0.161,0.0,0.129,0.0,0.0,0.0,0.157,0.167,-2,1,-1,-5,1,-1,0,0,0,-1,negative
17,-0.453080027406847,242,E,E,E,C,C,0.188,0.312,0.5,0.5,0.312,0.188,0.188,0.562,3,3,3,1,0,3,4,3,4,0,3,4,4,3,0.417,0.017,0.0,0.062,0.188,0.062,0.0,0.05,0.459,0.14,-1,5,-1,-3,-2,1,2,0,3,-2,positive
151,-0.453080027406847,318,E,E,E,C,C,0.393,0.067,0.54,0.147,0.133,0.127,0.133,0.167,4,4,4,3,0,1,4,4,4,1,3,3,4,3,0.182,0.182,0.08,0.047,0.067,0.04,0.02,0.321,0.129,0.211,5,-3,-1,1,-1,3,-3,-1,-6,5,negative
116,0.161795577266193,163,H,H,H,C,C,0.704,0.0,0.296,0.348,?,0.157,0.226,0.339,2,3,1,0,2,0,1,3,2,2,0,4,3,4,0.35,0.031,0.087,0.035,0.087,0.043,0.052,0.706,0.319,0.233,-1,-2,-3,-6,-2,1,2,0,-5,3,negative
97,-0.348437167796208,164,C,C,C,C,C,0.146,0.094,0.76,0.104,0.302,0.167,0.229,0.135,3,0,0,0,2,1,3,1,1,3,3,4,1,4,0.311,0.0,0.031,0.073,0.094,0.031,0.021,0.152,0.165,0.183,-3,-3,0,-3,5,-4,-5,-5,2,-5,negative
170,-0.0983758514235736,273,C,C,C,C,C,0.172,0.0,0.828,0.124,0.201,0.041,0.148,0.278,0,0,3,0,3,3,3,1,4,3,3,3,3,1,0.201,0.337,0.083,0.071,0.041,0.012,0.024,0.264,?,0.161,1,0,2,1,-2,0,-1,1,3,-1,negative
38,-0.635345832089259,228,E,E,E,E,E,0.0,0.27,0.73,0.081,0.351,0.054,0.162,0.27,3,3,3,3,3,0,4,3,4,3,3,1,3,4,0.364,0.061,?,0.0,0.027,0.054,0.0,0.07,0.162,0.11,-2,1,-1,11,?,-1,1,1,0,-1,negative
37,0.0235861604549471,80,C,C,E,E,E,0.0,0.639,0.361,0.222,0.278,0.111,0.167,0.278,3,0,1,3,3,3,4,3,3,3,4,0,3,4,0.287,0.013,0.194,0.083,0.028,0.0,0.028,0.0,0.188,0.138,-1,-1,-1,-3,2,0,2,5,-1,-1,negative
110,-0.507532387566928,213,C,C,C,H,H,0.541,0.119,0.339,0.239,0.248,0.147,0.138,0.257,3,3,3,1,3,1,4,3,4,3,4,3,0,3,0.277,0.07,0.064,?,?,0.028,0.064,0.549,0.263,0.141,0,0,4,-7,0,-1,3,-3,2,4,negative
17,-0.098348783534432,128,C,E,E,C,H,0.125,0.312,0.562,0.312,0.438,0.25,0.0,0.25,3,3,1,1,3,3,3,4,1,4,0,3,1,2,0.492,0.0,0.125,0.062,0.0,0.125,0.062,0.281,0.477,0.102,0,2,-4,-4,-4,0,1,-2,-4,1,negative
165,-0.637628516238633,954,H,H,H,H,H,0.537,0.024,0.439,0.238,0.262,0.128,0.213,0.25,1,0,3,3,0,0,1,0,3,1,3,3,4,3,0.239,0.138,0.159,0.067,0.073,0.055,0.043,0.181,0.155,?,-4,-2,2,3,1,-1,1,-1,1,-3,negative
192,1.0387744973686,255,C,C,C,C,C,0.503,0.131,0.366,0.079,0.152,0.089,0.497,0.11,0,3,0,0,0,X,1,3,1,3,1,4,4,X,0.2,0.294,0.058,0.052,0.068,0.079,0.042,0.447,0.09,0.42,-5,4,-7,-5,2,0,1,-4,-5,5,negative
84,-0.144929851277216,205,C,C,C,C,C,0.0,0.482,0.518,0.12,0.373,0.157,0.108,0.205,1,3,0,1,3,0,2,3,1,3,1,3,1,4,0.337,0.0,0.072,0.06,0.048,0.096,0.048,0.0,0.122,0.117,-1,-1,-7,-4,-5,-3,-2,-1,1,-2,positive
213,0.295432897894212,642,?,H,H,H,H,0.458,0.033,0.509,0.259,0.259,0.151,0.245,0.274,0,2,3,3,3,3,0,2,3,4,2,3,0,0,0.212,0.235,0.118,0.061,0.099,?,0.047,0.358,0.187,0.274,-3,-4,-3,9,5,-4,-1,-4,-2,-3,negative
18,-0.51377438296557,156,H,H,H,H,H,0.353,0.0,0.647,0.412,0.529,0.059,0.235,0.353,3,3,0,3,3,3,3,3,0,3,0,0,3,0,0.391,0.006,0.0,0.118,0.0,0.118,0.059,0.397,0.372,0.186,-2,-2,-2,-3,-1,-2,-2,-1,-4,-2,negative
8,3.93901995454264E-4,162,C,C,C,H,H,0.429,0.0,0.571,0.571,0.571,0.0,0.0,0.429,3,3,0,3,3,3,3,3,0,3,2,3,3,3,0.389,0.074,0.143,0.286,0.0,0.0,0.0,0.519,0.321,0.142,0,-1,-2,-2,-3,-2,-1,-3,-7,2,positive
13,0.702477190922726,229,C,C,C,H,C,0.25,0.0,0.75,0.417,0.417,0.25,0.083,0.5,0,1,0,0,0,0,0,0,1,0,3,4,4,3,0.336,0.096,0.167,0.167,0.0,0.0,0.0,0.341,0.279,0.188,2,1,0,-4,0,0,-1,-1,-2,0,positive
581,-0.259059218447052,678,H,C,C,C,C,0.369,0.091,0.54,0.124,0.172,0.09,0.381,0.145,3,0,1,3,3,3,3,1,1,3,3,1,0,1,0.178,0.388,0.093,0.05,0.055,0.052,0.033,0.391,0.127,0.378,-3,-3,2,-5,1,1,-2,-3,3,-3,negative
39,-0.114323847031735,226,H,C,C,C,H,0.184,0.263,0.553,0.079,0.158,?,0.395,0.105,1,3,3,1,3,0,1,3,3,3,3,3,1,3,0.248,0.128,0.158,0.079,0.026,0.237,0.0,0.394,0.181,0.292,2,-5,-1,-3,-1,-2,0,0,-8,6,negative
49,-0.114323847031735,386,E,C,C,C,C,0.0,0.417,0.583,0.021,0.125,0.146,0.333,0.083,3,3,1,1,1,0,4,4,2,1,0,3,4,4,0.321,0.106,0.062,0.104,0.021,0.062,0.021,0.259,0.215,0.251,6,-5,-6,-6,-1,0,3,?,4,0,positive
40,-0.498801547078728,146,E,E,E,H,H,0.128,0.308,0.564,0.282,0.385,0.179,0.128,0.359,3,3,3,3,1,0,4,4,4,0,0,1,3,4,0.411,0.0,0.026,0.077,0.026,0.051,0.026,0.096,0.356,0.089,-1,3,-5,0,0,1,2,-1,-3,4,positive
82,-0.672338244488822,238,C,C,E,C,C,0.0,0.333,0.667,0.136,0.284,0.062,0.21,0.284,3,3,3,4,4,4,3,3,3,4,3,3,0,0,0.311,0.126,0.049,0.062,0.025,0.049,0.037,0.021,0.181,0.181,0,0,1,-5,4,-4,8,-3,-6,4,negative
221,-0.513657674901729,318,C,C,C,C,C,0.309,0.182,0.509,0.127,0.168,0.114,0.227,0.159,3,0,0,3,3,3,3,0,0,3,4,3,1,4,0.182,0.182,0.091,0.055,0.055,0.036,0.036,0.321,0.129,0.211,0,-2,5,0,0,5,-2,-1,-6,2,negative
17,-0.334728526624013,167,E,E,E,E,E,0.0,0.75,0.25,0.0,0.125,0.188,0.25,0.125,3,3,3,1,3,1,3,3,3,3,3,3,3,4,0.246,0.0,0.062,0.062,0.125,0.0,0.062,0.03,0.108,0.156,-3,-1,-2,10,2,-4,-4,-2,-5,0,positive
296,0.690944442931784,620,C,C,C,C,C,0.027,0.478,0.495,0.105,0.224,0.075,0.207,0.176,1,3,0,3,1,0,3,3,1,1,2,2,3,4,0.274,0.144,0.078,0.061,0.064,0.068,0.047,0.068,0.145,0.177,-2,-4,-3,-3,0,1,-1,-4,-4,2,negative
95,-0.104898000751839,386,C,C,C,E,E,0.223,0.266,0.511,0.128,0.223,0.085,0.436,0.223,0,0,3,4,4,4,0,1,3,4,4,0,2,0,0.321,0.106,0.117,0.085,0.021,0.064,0.021,0.259,0.215,0.251,-2,-6,0,-5,-2,0,0,-4,1,-3,negative
15,0.0574235889636136,128,C,C,C,E,E,0.0,0.143,0.857,0.643,0.857,0.0,0.071,0.786,2,1,0,3,3,3,2,1,1,3,3,0,2,0,0.336,0.0,0.071,0.0,0.214,0.0,0.0,0.32,0.328,0.141,-3,-5,-2,-3,0,-3,0,-1,-3,2,positive
70,-0.152034578344575,136,H,H,H,C,C,0.145,0.522,0.333,0.043,0.174,0.043,0.377,0.188,3,3,4,0,0,X,3,4,3,0,0,4,4,X,0.213,0.118,0.072,0.0,0.029,0.145,0.0,0.103,0.096,0.316,-2,2,-3,-3,-2,0,0,-2,3,-1,negative
122,-0.568282058459033,211,E,E,E,E,C,0.066,0.339,0.595,0.273,0.38,0.066,0.207,0.355,3,3,0,0,0,0,4,4,3,0,1,4,4,4,0.346,0.085,0.124,0.05,0.008,0.05,0.033,0.038,0.294,0.194,-1,-1,-3,-3,-1,0,-2,-1,-1,-1,negative
30,0.0793413827993367,345,C,C,C,C,C,0.0,0.448,0.552,0.034,0.276,0.172,0.207,0.172,1,0,3,0,0,0,1,1,3,1,4,4,4,3,0.243,0.188,0.069,0.138,0.034,0.034,0.103,0.386,0.122,0.299,-3,-6,4,2,-2,1,-1,-5,-1,-1,negative
24,-0.264740238639843,179,C,C,C,C,C,0.0,0.13,0.87,0.348,0.435,0.217,0.0,0.478,3,0,0,1,3,0,3,1,0,3,4,3,4,4,0.324,0.017,0.043,0.087,0.13,0.087,0.0,0.039,0.162,0.223,-4,?,0,-4,-2,-2,1,-4,4,-5,negative
61,-0.770233121100733,176,C,C,C,C,C,0.233,0.483,0.283,0.233,0.317,0.167,0.267,0.25,1,0,1,0,1,0,1,0,2,1,4,4,4,3,0.443,0.045,0.05,0.05,0.117,0.033,0.033,0.256,0.398,0.199,-1,-2,-3,-4,-1,-1,-1,0,-3,0,negative
136,1.16304154068476,293,C,E,E,C,C,0.407,0.126,0.467,0.163,0.267,0.126,0.252,0.178,3,3,4,0,3,3,4,4,4,3,0,4,2,1,0.314,0.171,0.141,0.089,?,0.044,0.03,0.317,0.205,0.181,-1,-1,-4,-2,2,-1,-2,-3,-4,4,negative
17,-0.223130093762819,187,E,E,E,E,E,0.0,0.438,0.562,0.25,0.375,0.062,0.25,0.375,3,3,3,3,3,3,3,3,4,4,3,0,0,0,0.39,0.016,0.0,0.062,0.0,0.0,0.0,0.214,0.278,0.193,-3,-6,-3,-5,-5,-1,0,-1,2,-3,positive
127,0.394389014016248,150,C,C,C,H,H,0.754,0.0,0.246,0.278,0.373,0.183,0.183,0.246,0,3,3,0,3,3,1,3,1,3,1,3,0,1,0.373,0.0,0.159,0.04,0.079,0.056,0.063,0.727,0.253,0.187,1,-1,-7,-7,7,0,-2,11,-1,0,positive
6,-0.593125221569842,126,E,E,C,H,H,0.2,0.0,0.8,0.4,0.6,0.0,0.2,0.6,4,4,3,0,0,1,4,4,4,0,0,4,4,3,0.222,0.143,0.4,0.0,0.2,0.0,0.0,0.437,0.127,0.302,?,-6,-5,-6,2,-2,-1,2,-8,-2,positive
115,1.15934056238624,230,?,E,E,C,C,0.377,0.316,0.307,0.088,0.211,0.123,0.351,0.14,1,3,2,3,1,3,1,3,3,3,1,1,3,3,0.257,0.126,0.088,0.053,0.096,0.044,0.044,0.296,0.187,0.261,-3,0,-1,-4,4,-5,-5,0,0,-3,positive
73,0.0793413827993367,568,C,C,C,C,C,0.194,0.264,0.542,0.111,0.236,0.194,0.236,0.222,2,0,3,0,0,1,2,1,3,0,4,4,4,3,0.262,0.202,0.083,0.083,0.014,0.042,0.0,0.326,0.194,0.276,-4,-7,0,-5,-1,-1,0,-2,-4,-1,negative
12,-0.302960173485927,131,E,E,E,E,E,0.0,0.727,0.273,0.364,0.273,0.273,0.182,0.364,2,3,3,3,3,3,2,2,3,3,3,0,3,1,0.305,0.0,0.0,0.091,0.0,0.273,0.0,0.122,0.168,0.099,0,0,-2,-4,-2,1,2,-2,-2,-2,positive
29,-0.722302163365221,110,E,E,E,H,H,0.321,0.357,0.321,0.286,0.214,0.179,0.393,0.286,3,3,3,1,1,3,3,4,4,0,0,3,3,0,0.355,0.027,0.071,0.036,0.036,?,0.071,0.4,?,0.245,0,0,-4,-3,1,-1,-1,8,-1,-1,negative
10,-0.591533697835984,91,C,C,C,E,C,0.0,0.444,0.556,0.111,0.556,0.111,0.0,0.222,0,0,0,3,1,1,0,0,1,1,4,1,3,4,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.11,-1,-2,1,-4,-2,-3,-2,-2,1,-3,negative
18,-0.490848489056317,178,C,C,C,H,H,0.059,?,0.824,0.0,0.353,0.176,0.294,0.059,1,3,1,3,0,1,2,3,1,1,0,0,3,3,0.275,0.011,0.0,0.118,0.0,0.059,0.0,0.287,0.208,0.247,0,1,-8,-2,0,-2,-4,0,5,-5,negative
194,-0.16854968894129,954,C,C,C,H,H,0.067,0.326,0.606,0.171,0.285,0.124,0.119,0.337,3,3,3,1,3,3,0,3,3,3,3,3,0,1,0.239,0.138,?,0.041,0.088,0.041,0.052,0.181,0.155,0.156,0,0,-2,4,-1,0,-2,-1,-3,-2,negative
6,0.569305889031935,166,C,C,C,H,H,0.6,0.0,0.4,0.6,0.4,0.6,0.0,0.6,1,0,1,1,1,3,1,0,1,1,1,3,3,0,0.349,0.006,0.0,0.0,0.4,0.0,0.0,0.711,0.361,0.175,-1,3,-3,-3,2,-1,6,-2,-2,-3,positive
76,-0.219893050448415,218,E,E,E,E,E,0.067,0.64,0.293,0.093,0.133,0.053,0.293,0.2,3,3,4,3,3,3,3,4,4,3,0,0,3,0,0.211,0.069,0.08,0.067,0.0,0.013,0.067,0.023,0.161,0.239,-1,-1,-4,2,-2,2,2,-1,-2,1,positive
30,-0.247011286206205,71,H,H,H,H,H,0.621,0.069,0.31,0.345,0.31,0.207,0.207,0.379,0,3,3,3,3,0,0,3,3,3,0,0,3,3,0.366,0.0,0.138,0.138,0.034,0.069,0.0,0.62,0.38,0.239,-1,4,-4,-2,-2,-1,-1,0,1,-3,negative
162,-0.944179313473616,234,C,C,C,C,H,0.329,0.124,0.547,0.186,0.304,0.118,0.248,0.205,0,1,1,0,1,0,0,0,3,2,4,3,3,4,0.316,0.12,0.025,0.075,0.056,0.05,0.056,0.346,0.209,0.226,1,1,-1,-5,2,-4,-4,-2,-3,-6,negative
91,-0.620222019076863,104,C,C,C,C,C,0.589,0.078,0.333,0.5,0.411,0.2,0.178,0.389,0,0,3,0,3,0,0,0,3,3,4,4,2,3,0.452,0.0,0.078,0.056,0.111,0.067,0.022,0.51,0.5,0.154,-1,1,2,2,-2,-1,-1,0,-4,1,positive
220,-0.740432272820794,532,C,C,C,C,C,0.224,0.105,0.671,0.091,0.16,0.087,0.379,0.146,3,1,3,1,0,1,4,3,3,0,3,4,4,3,0.239,0.229,0.055,0.032,0.05,0.027,0.046,0.274,0.158,0.276,-5,-7,-2,-8,-1,-5,-5,-4,-6,-7,negative
12,-0.568600568117784,170,C,C,C,H,H,0.545,0.0,0.455,0.364,0.455,0.182,0.182,0.455,0,1,0,0,2,3,0,1,0,2,4,4,3,0,0.253,0.082,0.091,0.182,0.091,0.0,0.0,0.694,0.165,0.218,-1,0,0,-4,1,-4,-2,0,1,-3,positive
62,-0.584012985865814,296,H,H,H,C,C,0.016,0.672,0.311,0.049,0.082,0.049,0.23,0.148,0,0,3,3,3,0,1,1,3,3,3,4,4,4,0.243,0.203,0.082,0.049,0.033,0.049,0.049,0.068,0.149,0.223,-1,1,1,-5,-1,-1,-2,2,-2,1,negative
39,-0.591533697835984,145,H,H,C,H,H,0.5,0.0,0.5,0.263,0.395,0.105,0.158,0.263,3,1,0,0,0,3,3,1,0,1,3,4,3,0,0.317,0.0,0.079,0.079,0.026,0.026,0.053,0.71,0.207,0.228,-8,?,-2,-3,0,-1,1,-4,1,-4,negative
10,0.90377045129954,157,C,C,C,?,C,0.0,0.0,1.0,0.111,0.444,0.111,0.111,0.444,3,3,3,0,3,3,4,4,3,4,1,3,1,1,0.427,0.006,0.0,0.0,0.0,0.0,0.0,0.076,0.338,0.153,2,-3,-7,-6,-5,0,-2,-3,2,?,positive
80,-0.0744581203308277,254,C,C,C,H,H,0.392,0.253,0.354,0.266,0.329,0.165,0.241,0.278,2,0,0,1,2,1,3,1,0,2,3,3,3,3,0.28,0.055,0.139,0.038,0.101,0.025,0.038,0.406,0.213,0.248,1,-5,0,1,-2,0,-1,-1,1,0,positive
38,-0.296751891098694,452,C,C,C,C,C,0.0,0.0,1.0,0.351,0.405,0.027,0.027,0.649,1,3,3,3,3,0,1,3,4,3,2,4,1,4,?,0.148,0.189,0.081,0.0,0.027,0.0,0.0,0.217,0.162,-1,-1,1,-2,1,0,2,-1,-4,5,negative
20,1.17960746355996,180,E,E,E,E,E,0.0,0.737,0.263,0.0,0.158,0.053,0.368,0.105,3,4,3,3,4,4,4,4,4,4,0,0,0,0,0.25,0.083,0.0,0.0,0.0,0.211,0.053,0.278,0.094,0.283,-1,-2,-4,-3,-2,-3,-4,-6,-4,-1,negative
175,0.173230799377485,711,H,H,H,E,E,0.408,0.121,0.471,0.362,0.333,0.167,0.161,0.351,0,2,0,?,3,3,0,3,0,4,4,0,2,3,0.342,0.006,0.069,0.063,0.046,0.086,0.063,0.387,0.405,0.139,-2,-2,1,-4,-2,-1,1,-1,-4,2,positive
121,-0.535980866669175,209,C,C,C,C,C,0.583,0.083,0.333,0.15,0.2,0.1,0.333,0.15,3,3,4,3,0,0,4,3,3,0,3,0,4,4,0.23,0.139,0.058,0.075,0.042,0.042,0.033,?,0.167,0.258,-2,0,-3,-7,1,-3,-3,-3,-5,2,negative
62,0.00472948794322255,122,E,E,C,H,H,0.148,0.246,0.607,0.328,0.393,0.115,0.164,0.361,3,3,0,1,2,3,4,3,1,3,3,3,3,0,0.344,0.033,0.115,0.033,0.115,0.0,0.049,0.221,0.295,0.221,-2,-2,3,-3,2,-1,2,5,-5,-3,positive
68,-0.51634095987401,149,C,C,C,H,H,0.463,0.299,0.239,0.164,0.224,0.104,0.418,0.134,3,3,3,0,0,0,4,3,3,0,2,4,4,4,0.262,?,0.134,0.045,0.09,0.045,0.075,0.309,0.154,0.302,-3,6,-4,-6,1,0,-2,3,-3,3,negative
25,-0.2299948018255,134,C,C,C,C,C,0.542,0.0,0.458,0.542,0.5,0.208,0.083,0.417,3,3,1,0,0,1,2,3,1,1,1,4,4,4,0.276,0.03,0.083,0.042,0.25,0.042,0.0,0.358,0.246,0.142,-8,-9,-3,-5,0,-3,1,-1,-5,1,positive
77,-0.20707452348578,182,C,C,C,C,C,0.447,0.105,0.447,0.395,0.303,0.237,0.171,0.382,0,0,3,0,1,1,0,3,4,3,3,4,4,4,0.357,0.0,0.039,0.105,0.066,0.118,0.066,0.324,?,0.181,-1,0,-1,-3,4,-1,-1,-3,-1,-1,negative
13,0.711334932265868,130,C,C,C,C,E,0.0,0.417,0.583,0.083,0.583,0.25,0.0,0.417,0,2,0,0,3,1,1,3,1,3,1,4,1,3,0.362,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.131,-2,3,-2,-5,2,-4,-1,-3,-2,-4,positive
33,-0.0815048904778718,69,C,E,E,C,C,0.0,0.156,0.844,0.188,0.25,0.219,0.188,0.281,3,3,3,3,0,1,3,3,4,0,0,3,4,3,0.449,0.0,0.0,0.094,0.0,0.031,0.031,0.0,0.406,0.101,-1,2,-9,-6,0,-1,0,1,-6,6,negative
31,-0.494579528651966,100,E,E,E,C,C,0.4,0.233,0.367,0.2,0.333,0.1,0.267,0.133,3,3,4,1,0,3,4,4,4,1,0,3,4,3,0.42,0.01,0.167,0.033,0.1,0.067,0.0,0.12,0.28,0.18,-1,0,-5,-4,-1,0,1,1,-4,-1,negative
131,-0.417886444197309,234,C,C,C,C,C,0.431,0.092,0.477,0.162,0.285,0.162,0.215,0.146,4,3,0,0,0,X,4,4,2,0,1,4,4,X,0.316,0.12,0.062,0.1,0.054,0.054,0.038,0.346,0.209,0.226,3,-5,-2,-3,-3,0,3,-2,-4,-4,negative
20,1.0387744973686,155,E,E,E,E,E,0.211,0.211,0.579,0.053,0.211,0.158,0.316,0.211,4,4,3,4,4,4,4,4,4,4,0,0,0,0,0.219,0.239,0.053,0.105,0.053,0.053,0.105,0.123,0.084,0.387,1,-7,-8,-4,-4,-5,-6,6,-6,-2,positive
49,-0.264740238639843,97,X,C,C,C,E,0.146,0.125,0.729,0.125,0.208,0.146,0.312,0.125,X,0,0,4,4,4,X,0,0,4,4,0,0,0,0.216,0.165,0.083,0.062,0.0,0.042,0.0,0.175,0.144,0.33,0,0,-3,-5,-4,2,-2,2,-1,-1,negative
74,-0.402981896384358,345,C,C,C,H,H,0.384,0.233,0.384,0.151,0.219,0.151,0.315,0.123,2,0,3,3,3,3,2,1,4,4,3,0,0,3,0.243,0.188,0.137,0.068,0.041,0.082,0.041,0.386,0.122,0.299,0,-1,3,2,0,3,0,-3,0,-1,negative
36,-0.122603329060422,315,C,C,C,E,E,0.0,0.6,0.4,0.171,0.2,0.114,0.286,0.286,0,0,3,2,1,0,0,1,3,1,4,2,3,4,0.26,0.121,0.086,0.057,0.086,0.086,0.029,0.044,0.187,0.232,-2,-2,2,-4,-1,-2,3,-1,-5,2,positive
60,1.2402254703743,223,E,E,C,C,C,0.0,0.339,0.661,?,0.322,0.085,0.136,0.305,3,4,4,0,3,0,4,4,4,3,1,3,1,4,0.336,0.152,?,0.068,0.017,0.051,0.0,0.045,0.143,0.188,-1,2,-3,-6,-3,-1,3,-4,-4,-1,negative
138,-0.481313099700134,372,C,C,C,E,E,0.073,0.204,0.723,0.219,0.299,0.066,0.161,0.401,1,0,0,3,3,3,1,0,0,4,4,0,0,2,0.285,0.121,0.058,0.044,0.124,0.051,0.058,0.091,0.167,0.194,-1,-2,3,-5,-1,2,1,2,-5,1,negative
55,-0.278919205603454,171,C,C,C,C,C,0.0,0.463,0.537,0.037,0.167,0.148,0.259,0.13,0,0,0,4,4,4,1,1,1,4,4,0,0,1,0.246,0.076,0.056,0.056,0.037,0.037,0.037,0.193,0.123,0.164,-1,-5,4,-7,-4,2,0,9,2,-3,negative
37,-0.143784113262591,76,C,C,C,H,H,0.417,0.25,0.333,0.222,0.278,0.194,0.306,0.194,0,0,1,1,3,1,1,1,0,3,4,3,0,3,?,0.026,0.139,0.056,0.056,0.056,0.056,0.368,0.184,0.237,-4,-5,0,-6,-5,4,4,-1,-7,-3,negative
